"symbol" "EntrezID" "CGC" "Kandothetal"
"ABL1" 25 TRUE FALSE
"ABL2" 27 TRUE FALSE
"ACSL3" 2181 TRUE FALSE
"CASC5" 57082 TRUE FALSE
"MLLT11" 10962 TRUE FALSE
"NCKIPSD" 51517 TRUE FALSE
"AFF4" 27125 TRUE FALSE
"AKAP9" 10142 TRUE FALSE
"AKT1" 207 TRUE TRUE
"AKT2" 208 TRUE FALSE
"ALDH2" 217 TRUE FALSE
"ALK" 238 TRUE FALSE
"RNF213" 57674 TRUE FALSE
"APC" 324 TRUE TRUE
"ARHGEF12" 23365 TRUE FALSE
"RHOH" 399 TRUE FALSE
"ARID1A" 8289 TRUE TRUE
"ARID2" 196528 TRUE FALSE
"ARNT" 405 TRUE FALSE
"ASPSCR1" 79058 TRUE FALSE
"ASXL1" 171023 TRUE TRUE
"ATF1" 466 TRUE FALSE
"ATIC" 471 TRUE FALSE
"ATM" 472 TRUE TRUE
"ATRX" 546 TRUE TRUE
"BAP1" 8314 TRUE TRUE
"BCL10" 8915 TRUE FALSE
"BCL11A" 53335 TRUE FALSE
"BCL11B" 64919 TRUE FALSE
"BCL2" 596 TRUE FALSE
"BCL3" 602 TRUE FALSE
"BCL5" 603 TRUE FALSE
"BCL6" 604 TRUE FALSE
"BCL7A" 605 TRUE FALSE
"BCL9" 607 TRUE FALSE
"BCOR" 54880 TRUE FALSE
"BCR" 613 TRUE FALSE
"FLCN" 201163 TRUE FALSE
"BIRC3" 330 TRUE FALSE
"BLM" 641 TRUE FALSE
"BMPR1A" 657 TRUE FALSE
"BRAF" 673 TRUE TRUE
"BRCA1" 672 TRUE TRUE
"BRCA2" 675 TRUE TRUE
"BRD3" 8019 TRUE FALSE
"BRD4" 23476 TRUE FALSE
"BRIP1" 83990 TRUE FALSE
"BTG1" 694 TRUE FALSE
"BUB1B" 701 TRUE FALSE
"C12orf9" 93669 TRUE FALSE
"HMGN2P46" 283651 TRUE FALSE
"NUTM1" 256646 TRUE FALSE
"RMI2" 116028 TRUE FALSE
"C2orf44" 80304 TRUE FALSE
"CAMTA1" 23261 TRUE FALSE
"CANT1" 124583 TRUE FALSE
"CARD11" 84433 TRUE FALSE
"CARS" 833 TRUE FALSE
"RUNX1T1" 862 TRUE FALSE
"CBFA2T3" 863 TRUE FALSE
"CBFB" 865 TRUE TRUE
"CBL" 867 TRUE FALSE
"CBLB" 868 TRUE FALSE
"CBLC" 23624 TRUE FALSE
"CCDC6" 8030 TRUE FALSE
"CCNB1IP1" 57820 TRUE FALSE
"CCND1" 595 TRUE TRUE
"CCND2" 894 TRUE FALSE
"CCND3" 896 TRUE FALSE
"CCNE1" 898 TRUE FALSE
"PDCD1LG2" 80380 TRUE FALSE
"CD274" 29126 TRUE FALSE
"CD74" 972 TRUE FALSE
"CD79A" 973 TRUE FALSE
"CD79B" 974 TRUE FALSE
"CDH1" 999 TRUE TRUE
"CDH11" 1009 TRUE FALSE
"CDK12" 51755 TRUE TRUE
"CDK4" 1019 TRUE FALSE
"CDK6" 1021 TRUE FALSE
"CDKN2A" 1029 TRUE TRUE
"CDKN2C" 1031 TRUE TRUE
"CDX2" 1045 TRUE FALSE
"CEBPA" 1050 TRUE TRUE
"CNTRL" 11064 TRUE FALSE
"CHCHD7" 79145 TRUE FALSE
"CHEK2" 11200 TRUE TRUE
"CHIC2" 26511 TRUE FALSE
"CHN1" 1123 TRUE FALSE
"CIC" 23152 TRUE FALSE
"CIITA" 4261 TRUE FALSE
"CLTC" 1213 TRUE FALSE
"CLTCL1" 8218 TRUE FALSE
"ACKR3" 57007 TRUE FALSE
"COL1A1" 1277 TRUE FALSE
"KLF6" 1316 TRUE FALSE
"COX6C" 1345 TRUE FALSE
"CREB1" 1385 TRUE FALSE
"CREB3L1" 90993 TRUE FALSE
"CREB3L2" 64764 TRUE FALSE
"CREBBP" 1387 TRUE FALSE
"CRLF2" 64109 TRUE FALSE
"CRTC3" 64784 TRUE FALSE
"CTNNB1" 1499 TRUE TRUE
"CYLD" 1540 TRUE FALSE
"DAXX" 1616 TRUE FALSE
"DDB2" 1643 TRUE FALSE
"DDIT3" 1649 TRUE FALSE
"DDX10" 1662 TRUE FALSE
"DDX5" 1655 TRUE FALSE
"DDX6" 1656 TRUE FALSE
"DEK" 7913 TRUE FALSE
"DICER1" 23405 TRUE FALSE
"DNM2" 1785 TRUE FALSE
"DNMT3A" 1788 TRUE TRUE
"DUX4L1" 22947 TRUE FALSE
"EBF1" 1879 TRUE FALSE
"ECT2L" 345930 TRUE FALSE
"EGFR" 1956 TRUE TRUE
"EIF4A2" 1974 TRUE TRUE
"ELF4" 2000 TRUE FALSE
"ELK4" 2005 TRUE FALSE
