"p.value" "p.value.corrected" "gene.set"
1.19474851844006e-15 3.4047558268422e-10 "9709_DEL, 7157_SNV"
6.2443336743902e-19 2.59161504464435e-09 "999_SNV, 7157_SNV, 2625_SNV"
9.8351992439008e-15 2.80280338640195e-09 "4094_DEL, 7157_SNV"
1.32233215225862e-14 3.76833955509039e-09 "10664_DEL, 7157_SNV"
1.32233215225862e-14 3.76833955509039e-09 "865_DEL, 7157_SNV"
6.24953821694979e-14 1.78097326180533e-08 "999_DEL, 7157_SNV"
6.82907761726627e-14 1.94612853253029e-08 "1009_DEL, 7157_SNV"
8.66283293307132e-14 2.46870621311549e-08 "2175_DEL, 7157_SNV"
1.93922616583271e-13 5.52634423544171e-08 "863_DEL, 7157_SNV"
7.91356634836898e-17 3.2844044976868e-07 "999_SNV, 5155_DEL, 7157_SNV"
3.19213723840628e-16 1.32484766558076e-06 "999_SNV, 6598_DEL, 7157_SNV"
9.56112839451693e-20 5.771473492629e-06 "7157_SNV, 2625_SNV, 2309_DEL, 5290_SNV"
1.74217008751134e-15 7.23061009318129e-06 "2309_DEL, 2625_AMP, 5290_SNV"
1.78874249545833e-15 7.42390173868663e-06 "999_SNV, 57591_DEL, 7157_SNV"
2.72567105623175e-15 1.13124802171494e-05 "999_SNV, 2033_DEL, 7157_SNV"
6.24351462267921e-11 1.77925667732125e-05 "1540_DEL, 7157_SNV"
7.18872890922631e-15 2.98357182119037e-05 "999_SNV, 23598_DEL, 7157_SNV"
5.40595628341426e-19 3.26324802937791e-05 "7955_DEL, 5290_SNV, 7157_SNV, 2625_SNV"
3.1368565116091e-10 8.9393126009595e-05 "4609_AMP, 999_SNV"
3.15656489459877e-14 0.000131008390915901 "1316_AMP, 2309_DEL, 5290_SNV"
6.59590060535476e-18 0.000398154526673355 "57120_DEL, 5290_SNV, 7157_SNV, 2625_SNV"
2.5901729393924e-13 0.00107501160379864 "2625_AMP, 10243_DEL, 5290_SNV"
4.15188288783638e-13 0.00172317539657568 "894_AMP, 2309_DEL, 5290_SNV"
8.1659031567377e-09 0.00232709276682201 "83481_AMP, 999_SNV"
8.25091843265477e-09 0.00235132014618944 "5885_AMP, 999_SNV"
6.05863648124702e-13 0.00251454426902711 "3799_AMP, 2309_DEL, 5290_SNV"
1.36194024793882e-08 0.00388121342978106 "2131_AMP, 999_SNV"
1.96822967221682e-08 0.0056089974932914 "4194_AMP, 7157_SNV"
3.58106913325786e-08 0.0102052154152942 "867_DEL, 7157_SNV"
4.48241339969418e-08 0.0127738372597864 "4297_DEL, 7157_SNV"
4.48241339969418e-08 0.0127738372597864 "5049_DEL, 7157_SNV"
4.48241339969418e-08 0.0127738372597864 "9159_DEL, 7157_SNV"
5.10009206933965e-08 0.0145340780277243 "4609_AMP, 5290_SNV"
9.25354869355326e-08 0.0263704648694436 "10397_AMP, 999_SNV"
9.54971936051567e-08 0.0272144824919945 "2005_AMP, 7157_SNV"
1.20199533059688e-07 0.0342540755859672 "85414_AMP, 7157_SNV"
1.41017714754617e-07 0.0401867739183843 "1656_DEL, 7157_SNV"
1.57648924960018e-07 0.0449262826083142 "9401_AMP, 999_SNV"
