"p.value" "p.value.corrected" "gene.set"
1.46312884941589e-16 4.18964735439934e-11 "9709_DEL, 7157_SNV"
6.74827951119722e-15 1.93235964229137e-09 "4094_DEL, 7157_SNV"
1.2438508382233e-14 3.5617480823443e-09 "10664_oro, 7157_SNV"
2.26758419156216e-14 6.49319307240023e-09 "2175_DEL, 7157_SNV"
4.03316118776734e-14 1.15488961255472e-08 "1009_DEL, 7157_SNV"
6.41701754997218e-19 1.37854766968922e-08 "999_SNV, 7157_SNV, 2625_SNV"
1.14694666918741e-13 3.28426445840128e-08 "863_DEL, 7157_SNV"
1.6804934168341e-13 4.812067509116e-08 "999_DEL, 7157_SNV"
3.11377580656356e-17 6.68922649602457e-07 "999_SNV, 7157_SNV, 5155_DEL"
3.01808450827431e-16 6.48365589373325e-06 "999_SNV, 7157_SNV, 6598_DEL"
3.99789010229623e-11 1.14478979051992e-05 "1540_DEL, 7157_SNV"
6.81412324878117e-16 1.46385663626916e-05 "999_SNV, 7157_SNV, 2033_DEL"
7.0213612185163e-11 2.01055617659257e-05 "999_SNV, 4609_AMP"
2.28669621394811e-15 4.91243745630553e-05 "2625_AMP, 5290_SNV, 2309_DEL"
4.45126883622791e-20 7.16456266286911e-05 "7157_SNV, 2625_SNV, 5290_SNV, 2309_DEL"
3.72832142038988e-10 0.000106759920573795 "8301_DEL, 7157_SNV"
1.75424312227791e-14 0.000376858524922537 "1316_AMP, 5290_SNV, 2309_DEL"
4.40491611717553e-19 0.000708995540537383 "7955_DEL, 5290_SNV, 7157_SNV, 2625_SNV"
2.81061772384747e-09 0.000804816138759512 "999_SNV, 5885_AMP"
7.18825623717334e-14 0.00154423044782342 "2625_AMP, 5290_SNV, 10243_DEL"
6.22639229869373e-09 0.00178291802749217 "999_SNV, 83481_AMP"
9.70629934967674e-09 0.00277938415387106 "999_SNV, 2131_AMP"
1.57490604626365e-08 0.00450971966877024 "7157_SNV, 4194_AMP"
2.10769658933604e-13 0.00452789820039328 "894_AMP, 5290_SNV, 2309_DEL"
2.88481770793559e-08 0.0082606319209698 "7157_SNV, 4297_DEL"
3.18243020631107e-08 0.00911284081354462 "867_DEL, 7157_SNV"
